Designator,Mid X,Mid Y,Layer,Rotation
BZ1,13.92,19.86,Top,0.0
C1, 5.12,27.88,Top,180.0
C2,34.42, 8.64,Top,270.0
C3,20.81,10.54,Top,180.0
C4,23.94,10.71,Top,90.0
C5,42.31,16.58,Top,180.0
C6,40.21, 7.60,Top,0.0
C7,36.38,38.49,Top,180.0
C8,42.68,33.00,Top,0.0
D1,25.57, 1.87,Top,90.0
D2,24.77,17.27,Top,270.0
FID1, 0.59, 0.59,Top,180.0
FID2, 0.60,48.89,Top,180.0
IC1,16.45,39.40,Top,0.0
J1,13.57,10.40,Top,0.0
J3,38.96, 1.72,Top,0.0
JP1,14.31, 5.09,Top,180.0
JP2, 1.10, 9.19,Top,90.0
JP3, 1.08,40.68,Top,90.0
LD1,33.21,39.81,Top,180.0
LD2,33.32,42.76,Top,180.0
Q1, 7.97,19.09,Top,180.0
R1, 8.21,26.87,Top,270.0
R2, 6.30,24.48,Top,90.0
R3,12.49,26.87,Top,90.0
R4,16.84,26.87,Top,90.0
R5, 9.40, 4.26,Top,90.0
R6, 9.40, 1.90,Top,90.0
R7, 9.38, 6.17,Top,90.0
R8,21.59,26.92,Top,270.0
R9,26.04,26.92,Top,270.0
R10,21.48,14.00,Top,90.0
R11, 6.30,22.11,Top,270.0
R12,20.62,22.61,Top,270.0
R13,26.45,22.61,Top,90.0
R14,35.39,41.19,Top,0.0
R15,35.48,44.10,Top,0.0
RGB1,22.38, 5.27,Top,90.0
SJ16,37.47,21.08,Top,180.0
SJ17,37.34,25.91,Top,180.0
SW1,45.00, 3.30,Top,90.0
SW2,32.98, 3.30,Top,270.0
U2,42.34,12.15,Top,0.0
U3,42.79,39.37,Top,270.0
